Metric,Value
Number of CPU cores,4
Elapsed wall time (s),239.086
Elapsed CPU time (s),42.34
CPU usage (%),4.42728
Total time in Conv (s),132.46
Total time in MatMul (s),136.083
Total time in BatchNorm (s),0
Total time in Truncation (s),2.148
Total time in Relu (s),3.737
Total time in MaxPool (s),5.483
Total time in AvgPool (s),0.089
Total time in ArgMax (s),0
Total time in MatAdd (s),0
Total time in MatAddBroadCast (s),0
Total time in MulCir (s),0
Total time in ScalarMul (s),0
Total time in Sigmoid (s),0
Total time in Tanh (s),0
Total time in Sqrt (s),0
Total time in NormaliseL2 (s),0
Total data sent (MiB),844.461
Estimated energy used (J),21208.7
Total comm rounds,837
Conv data sent (MiB),49.517
MatMul data sent (MiB),84.8457
BatchNorm data sent (MiB),0
Truncation data sent (MiB),139.103
Relu data sent (MiB),238.313
Maxpool data sent (MiB),350.831
Avgpool data sent (MiB),6.60938
ArgMax data sent (MiB),0
MatAdd data sent (MiB),0
MatAddBroadCast data sent (MiB),0
MulCir data sent (MiB),0
Sigmoid data sent (MiB),0
Tanh data sent (MiB),0
Sqrt data sent (MiB),0
NormaliseL2 data sent (MiB),0
